Sno,Capital City,Country,Continent,Latitude,Longitude
1,Abu Dhabi,United Arab Emirates,Asia,24.28N,54.22E
2,Abuja,Nigeria,Africa,09.05N,07.32E
3,Accra,Ghana,Africa,05.35N,00.06W
4,Addis Ababa,Ethiopia,Africa,09.02N,38.42E
5,Algiers,Algeria,Africa,36.42N,03.08E
6,Amman,Jordan,Asia,31.57N,35.52E
7,Amsterdam,Netherlands,Europe,12.05N,69.00W
8,Andorra la Vella,Andorra,Europe,42.31N,01.32E
9,Ankara,Türkiye (Turkey),Asia,39.57N,32.54E
10,Antananarivo,Madagascar,Africa,18.55S,47.31E
11,Apia,Samoa,Oceania and Australia,14.16S,170.43W
12,Ashgabat,Turkmenistan,Asia,38.00N,57.50E
13,Asmara,Eritrea,Africa,15.19N,38.55E
14,Astana,Kazakhstan,Asia,51.10N,71.30E
15,Asuncion,Paraguay,South America,25.10S,57.30W
16,Athens,Greece,Europe,37.58N,23.46E
17,Baghdad,Iraq,Asia,33.20N,44.30E
18,Baku,Azerbaijan,Asia,40.29N,49.56E
19,Bamako,Mali,Africa,12.34N,07.55W
20,Bandar Seri Begawan,Brunei,Asia,04.52N,115.00E
21,Bangkok,Thailand,Asia,13.45N,100.35E
22,Bangui,Central African Republic,Africa,04.23N,18.35E
23,Banjul,Gambia,Africa,13.28N,16.40W
24,Basseterre,Saint Kitts and Nevis,North America,17.17N,62.43W
25,Beijing,China,Asia,39.55N,116.20E
26,Beirut,Lebanon,Asia,33.53N,35.31E
27,Belfast,Northern Ireland,Europe,54.59N,05.93W
28,Belgrade,Serbia,Europe,44.81N,20.46E
29,Belmopan,Belize,North America,17.18N,88.30W
30,Berlin,Germany,Europe,52.30N,13.25E
31,Bern,Switzerland,Europe,46.57N,07.28E
32,Bishkek,Kyrgyzstan,Asia,42.54N,74.46E
33,Bissau,Guinea-Bissau,Africa,11.45N,15.45W
34,Bogota,Colombia,South America,04.34N,74.00W
35,Brasilia,Brazil,South America,15.47S,47.55W
36,Bratislava,Slovakia,Europe,48.10N,17.07E
37,Brazzaville,"Congo, Republic of the",Africa,04.09S,15.12E
38,Bridgetown,Barbados,North America,13.05N,59.30W
39,Brussels,Belgium,Europe,50.51N,04.21E
40,Bucharest,Romania,Europe,44.27N,26.10E
41,Budapest,Hungary,Europe,47.29N,19.05E
42,Buenos Aires,Argentina,South America,36.30S,60.00W
43,Cairo,Egypt,Africa,30.01N,31.14E
44,Canberra,Australia,Oceania and Australia,35.15S,149.08E
45,Caracas,Venezuela,South America,10.30N,66.55W
46,Cardiff,Wales,Europe,51.48N,03.16W
47,Castries,Saint Lucia,North America,14.02N,60.58W
48,Chisinau,Moldova,Europe,47.02N,28.50E
49,Conakry,Guinea,Africa,09.29N,13.49W
50,Copenhagen,Denmark,Europe,55.41N,12.34E
51,Dakar,Senegal,Africa,14.34N,17.29W
52,Damascus,Syria,Asia,33.30N,36.18E
53,Dhaka,Bangladesh,Asia,23.43N,90.26E
54,Dili,East Timor,Asia,08.29S,125.34E
55,Djibouti,Djibouti,Africa,11.08N,42.20E
56,Dodoma,Tanzania,Africa,06.18S,35.74E
57,Doha,Qatar,Asia,25.15N,51.35E
58,Dublin,Ireland,Europe,53.21N,06.15W
59,Dushanbe,Tajikistan,Asia,38.33N,68.48E
60,Edinburgh,Scotland,Europe,55.95N,03.18W
61,Freetown,Sierra Leone,Africa,08.30N,13.17W
62,Funafuti,Tuvalu,Oceania and Australia,08.31S,179.13E
63,Gaborone,Botswana,Africa,24.45S,25.57E
64,Georgetown,Guyana,South America,06.50N,58.12W
65,Gitega,Burundi,Africa,03.16S,29.18E
66,Guatemala City,Guatemala,North America,14.40N,90.22W
67,Hanoi,Vietnam,Asia,21.05N,105.55E
68,Harare,Zimbabwe,Africa,17.43S,31.02E
69,Havana,Cuba,North America,23.08N,82.22W
70,Helsinki,Finland,Europe,60.15N,25.03E
71,Honiara,Solomon Islands,Oceania and Australia,09.27S,159.57E
72,Islamabad,Pakistan,Asia,33.40N,73.10E
73,Jakarta,Indonesia,Asia,06.09S,106.49E
75,Jerusalem (very limited international recognition),Palestine,Asia,31.76N,35.21E
74,Jerusalem (very limited international recognition),Israel,Asia,31.71N,35.10W
76,Juba,South Sudan,Africa,4.85N,31.58E
77,Kabul,Afghanistan,Asia,34.28N,69.11E
78,Kampala,Uganda,Africa,00.20N,32.30E
79,Kathmandu,Nepal,Asia,27.45N,85.20E
80,Khartoum,Sudan,Africa,15.31N,32.35E
81,Kigali,Rwanda,Africa,01.59S,30.04E
82,Kingston,Jamaica,North America,18.00N,76.50W
83,Kingstown,Saint Vincent and the Grenadines,North America,13.10N,61.10W
84,Kinshasa,"Congo, Democratic Republic of the",Africa,04.20S,15.15E
85,Kuala Lumpur,Malaysia,Asia,03.09N,101.41E
86,Kuwait City,Kuwait,Asia,29.30N,48.00E
87,Kyiv or Kiev,Ukraine,Europe,50.30N,30.28E
88,"La Paz (administrative), Sucre (official)",Bolivia,South America,16.20S,68.10W
89,Libreville,Gabon,Africa,00.25N,09.26E
90,Lilongwe,Malawi,Africa,14.00S,33.48E
91,Lima,Peru,South America,12.00S,77.00W
92,Lisbon,Portugal,Europe,38.42N,09.10W
93,Ljubljana,Slovenia,Europe,46.04N,14.33E
94,Lome,Togo,Africa,06.09N,01.20E
96,London,United Kingdom,Europe,51.36N,00.05W
97,Luanda,Angola,Africa,08.50S,13.15E
98,Lusaka,Zambia,Africa,15.28S,28.16E
99,Luxembourg,Luxembourg,Europe,49.37N,06.09E
100,Madrid,Spain,Europe,40.25N,03.45W
101,Majuro,Marshall Islands,Oceania and Australia,7.06N,171.26E
102,Malabo,Equatorial Guinea,Africa,03.45N,08.50E
103,Male,Maldives,Asia,04.00N,73.28E
104,Managua,Nicaragua,North America,12.06N,86.20W
105,Manama,Bahrain,Asia,26.10N,50.30E
106,Manila,Philippines,Asia,14.40N,121.03E
107,Maputo,Mozambique,Africa,25.58S,32.32E
108,Maseru,Lesotho,Africa,29.18S,27.30E
109,Melekeok,Palau,Oceania and Australia,7.5004N,134.6243E
110,Mexico City,Mexico,North America,19.20N,99.10W
111,Minsk,Belarus,Europe,53.52N,27.30E
112,Mogadishu,Somalia,Africa,02.02N,45.25E
113,Monaco,Monaco,Europe,43.73N,7.42E
114,Monrovia,Liberia,Africa,06.18N,10.47W
115,Montevideo,Uruguay,South America,34.50S,56.11W
116,Moroni,Comoros,Africa,11.40S,43.16E
117,Moscow,Russia,Asia,55.45N,37.35E
118,Muscat,Oman,Asia,23.37N,58.36E
119,Nairobi,Kenya,Africa,01.17S,36.48E
120,Nassau,Bahamas,North America,25.05N,77.20W
121,Nay Pyi Taw,Myanmar (Burma),Asia,16.45N,96.20E
122,N'Djamena,Chad,Africa,12.10N,14.59E
123,New Delhi,India,Asia,28.37N,77.13E
124,Niamey,Niger,Africa,13.27N,02.06E
125,Nicosia,Cyprus,Asia,35.10N,33.25E
127,Nouakchott,Mauritania,Africa,20.10S,57.30E
128,Nuku'alofa,Tonga,Oceania and Australia,21.10S,174.00W
129,Oslo,Norway,Europe,59.55N,10.45E
130,Ottawa,Canada,North America,45.27N,75.42W
131,Ouagadougou,Burkina Faso,Africa,12.15N,01.30W
133,Panama City,Panama,North America,09.00N,79.25W
134,Paramaribo,Suriname,South America,05.50N,55.10W
135,Paris,France,Europe,48.50N,02.20E
136,Phnom Penh,Cambodia,Asia,11.33N,104.55E
137,Podgorica,Montenegro,Europe,42.43N,19.25E
138,Port au Prince,Haiti,North America,18.40N,72.20W
139,Port Louis,Mauritius,Africa,20.16S,57.50E
140,Port Moresby,Papua New Guinea,Oceania and Australia,09.24S,147.08E
141,Port of Spain,Trinidad and Tobago,South America,10.66N,61.50W
142,Port Vila,Vanuatu,Oceania and Australia,17.45S,168.18E
143,Porto Novo,Benin,Africa,06.23N,02.42E
144,Prague,Czech Republic,Europe,50.05N,14.22E
145,Praia,Cape Verde,Africa,15.02N,23.34W
146,"Pretoria, Bloemfontein, Cape Town",South Africa,Africa,25.44S,28.12E
147,Pristina,Kosovo,Europe,42.66N,21.16E
148,Pyongyang,North Korea,Asia,39.07N,125.81E
149,Quito,Ecuador,Oceania and Australia,00.15S,78.35W
150,Rabat,Morocco,Africa,34.00N,06.85W
151,Reykjavik,Iceland,Europe,64.10N,21.57W
152,Riga,Latvia,Europe,56.53N,24.08E
153,Riyadh,Saudi Arabia,Asia,24.41N,46.42E
154,Rome,Italy,Europe,41.54N,12.29E
155,Roseau,Dominica,North America,15.20N,61.24W
156,Saint George's,Grenada,North America,32.38N,64.67W
157,Saint John's,Antigua and Barbuda,North America,17.127N,61.846W
158,San Jose,Costa Rica,North America,09.55N,84.02W
159,San Marino,San Marino,Europe,43.55N,12.30E
160,San Salvador,El Salvador,North America,13.40N,89.10W
161,Sana'a,Yemen,Asia,15.35N,44.20E
162,Santiago,Chile,South America,33.24S,70.40W
163,Santo Domingo,Dominican Republic,North America,18.30N,69.59W
164,Sao Tome,Sao Tome and Principe,Africa,00.10N,06.39E
165,Sarajevo,Bosnia and Herzegovina,Europe,43.52N,18.26E
166,Seoul,South Korea,Asia,37.31N,126.58E
167,Singapore,Singapore,Asia,01.35N,103.81E
168,Skopje,North Macedonia (Macedonia),Europe,41.99N,21.42E
169,Sofia,Bulgaria,Europe,42.45N,23.20E
170,Sri Jayawardenapura Kotte,Sri Lanka,Asia,6.88N,79.91E
171,Stockholm,Sweden,Europe,59.20N,18.03E
172,Suva,Fiji,Oceania and Australia,18.06S,178.30E
